"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.690398180E-1;-4.031308174E0;8.841479301E0;1.534995675E0;9.837652848E0
3.711915920E-1;-3.964308977E0;8.760123253E0;1.511067510E0;9.733387390E0
3.733894270E-1;-3.911666870E0;8.712266922E0;1.516451359E0;9.669765113E0
3.755597050E-1;-3.940380573E0;8.659625053E0;1.540379524E0;9.637866683E0
3.777375820E-1;-3.945166349E0;8.621937752E0;1.440479279E0;9.590470722E0
3.798967820E-1;-3.906881094E0;8.593224525E0;1.416550994E0;9.545357214E0
3.820559730E-1;-3.887738705E0;8.574081421E0;1.416550994E0;9.520294174E0
3.842414680E-1;-3.849453449E0;8.526225090E0;1.407577872E0;9.460236869E0
3.864017160E-1;-3.844667673E0;8.502297401E0;1.393221021E0;9.434595669E0
3.885898970E-1;-3.830310822E0;8.478966713E0;1.369292736E0;9.404207575E0
3.907562390E-1;-3.835096598E0;8.488538742E0;1.331007600E0;9.409295251E0
3.929323260E-1;-3.782454491E0;8.526823044E0;1.307079315E0;9.419242514E0
3.950990630E-1;-3.720241070E0;8.574680328E0;1.354935765E0;9.444638017E0
3.972704100E-1;-3.801596880E0;8.565108299E0;1.311864972E0;9.462251779E0
3.994413990E-1;-3.887738705E0;8.564510345E0;1.326221943E0;9.498642763E0
4.016119930E-1;-3.973880291E0;8.578866959E0;1.359123230E0;9.551748469E0
4.037805830E-1;-4.064807415E0;8.606983185E0;1.397408366E0;9.620580492E0
4.059524470E-1;-4.131806374E0;8.640482903E0;1.482951880E0;9.691693091E0
4.081221450E-1;-4.189234257E0;8.654241562E0;1.569093466E0;9.742054967E0
4.102936240E-1;-4.227519512E0;8.692526817E0;1.654636860E0;9.806618522E0
4.124619590E-1;-4.255635262E0;8.682954788E0;1.683350682E0;9.815182365E0
4.146268440E-1;-4.260420799E0;8.682954788E0;1.740778446E0;9.827268127E0
4.168113950E-1;-4.317848682E0;8.715856552E0;1.759921074E0;9.884700039E0
4.189819880E-1;-4.384847641E0;8.744570732E0;1.783251047E0;9.943560249E0
4.211532540E-1;-4.408775806E0;8.754141808E0;1.773679733E0;9.960835442E0
