"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.695397320E-1;-2.362912297E-1;4.660620213E0;8.696713448E0;9.869652431E0
3.717158900E-1;-2.506481707E-1;4.646263599E0;8.715856552E0;9.880118692E0
3.738732590E-1;-2.650051117E-1;4.631906509E0;8.726025581E0;9.882727765E0
3.760434450E-1;-2.937189937E-1;4.641477585E0;8.734998703E0;9.895948027E0
3.782089520E-1;-3.128615618E-1;4.660620213E0;8.749356270E0;9.918190271E0
3.803755170E-1;-3.320041299E-1;4.660620213E0;8.773283958E0;9.939925499E0
3.825567000E-1;-3.320041299E-1;4.660620213E0;8.758927345E0;9.927256204E0
3.847274570E-1;-3.367897868E-1;4.674977303E0;8.734998703E0;9.913074320E0
3.869010710E-1;-3.511467278E-1;4.674977303E0;8.749356270E0;9.926225463E0
3.890726410E-1;-3.655036688E-1;4.679762840E0;8.725427628E0;9.907919078E0
3.912532030E-1;-3.792623878E-1;4.646263599E0;8.720642090E0;9.888437887E0
3.934134510E-1;-3.840480447E-1;4.631906509E0;8.659027100E0;9.827553161E0
3.955825700E-1;-3.792623878E-1;4.627120972E0;8.644669533E0;9.812461453E0
3.977504370E-1;-3.696911037E-1;4.622334957E0;8.635098457E0;9.801406906E0
3.999214050E-1;-3.601198196E-1;4.612763882E0;8.606385231E0;9.771240641E0
4.020938910E-1;-3.559323549E-1;4.631906509E0;8.544171333E0;9.725436213E0
4.042666820E-1;-3.272185028E-1;4.636692047E0;8.544171333E0;9.726708018E0
4.064338680E-1;-3.128615618E-1;4.660620213E0;8.529814720E0;9.725070811E0
4.085955090E-1;-3.320041299E-1;4.689334393E0;8.510073662E0;9.722213612E0
4.107793370E-1;-3.750749528E-1;4.789832592E0;8.519046783E0;9.780456818E0
4.129500220E-1;-3.320041299E-1;4.718048096E0;8.481359482E0;9.711007323E0
4.151260370E-1;-2.889333367E-1;4.651647091E0;8.414958954E0;9.619399011E0
4.172918290E-1;-2.602194548E-1;4.579862595E0;8.348558426E0;9.525821925E0
4.194615060E-1;-2.602194548E-1;4.584648132E0;8.329415321E0;9.511354912E0
4.216345410E-1;-2.889333367E-1;4.594219685E0;8.338987350E0;9.525179632E0
4.238159080E-1;-3.128615618E-1;4.622933388E0;8.310273170E0;9.514727302E0
4.259620250E-1;-3.224328458E-1;4.675575256E0;8.276175499E0;9.511048723E0
4.281466980E-1;-3.272185028E-1;4.704289436E0;8.300103188E0;9.546157550E0
4.303139330E-1;-3.702892959E-1;4.713860512E0;8.314460754E0;9.564928265E0
4.324936930E-1;-3.798605800E-1;4.708476543E0;8.347960472E0;9.591792818E0
4.346629540E-1;-3.990031779E-1;4.713262558E0;8.357531548E0;9.603248463E0
4.368171590E-1;-3.894318938E-1;4.703691006E0;8.347960472E0;9.589828482E0
4.390005400E-1;-4.181457460E-1;4.694119930E0;8.352746010E0;9.590514777E0
4.411695450E-1;-4.325026870E-1;4.708476543E0;8.352746010E0;9.598186070E0
4.433489790E-1;-4.325026870E-1;4.713262558E0;8.343173981E0;9.592208014E0
4.455184530E-1;-4.468596280E-1;4.722833633E0;8.333004951E0;9.588733627E0
4.476562100E-1;-4.564309120E-1;4.737190723E0;8.342576027E0;9.604575987E0
